mesiac,strana,potencial,naplnenie_pct,jadro,poznamka
2026-07,ps,25.4,73,,
2026-07,smer,19.5,77,,
2026-07,rep,16.7,75,,"článok uvádza „z 3/4“"
2026-07,sas,15.0,,,"článok uvádza „o niečo viac než z polovice“"
2026-07,hlas,11.8,62,,
2026-07,olano,11.5,76,,
2026-07,dem,9.9,46,,
2026-07,kdh,9.8,58,,
2026-08,ps,24.9,74,,
2026-08,smer,19.9,83,,
2026-08,rep,17.6,75,,"článok uvádza „z troch štvrtín“"
2026-08,sas,15.0,,,"článok: „drží sa nad hranicou 15 %“, napĺňa „z necelej polovice“"
2026-08,olano,11.9,71,,
2026-08,hlas,10.4,47,,
2026-08,kdh,9.0,,,"článok: „okolo hranice 9 %“, napĺňa „viac než z polovice“"
2026-08,dem,10.0,40,,"článok: „nad hranicou 10 %“, napĺňa „z necelých 40 %“"
