# SECTION SA
# COLS: smer sas olano sns lsns sr mh kdh smk ps spolu zl vlast dv lead
2020 elections: 29 Feb 2020; —; 18.29; 6.22; 25.02; 3.16; 7.97; 8.24; 2.05; 4.65; 3.90; 6.96@2; 5.77; 2.93; 3.06; 6.73
Median: 29 Feb 2020; —; 13.9; 6.4; 25.3; 3.0; 8.8; 7.5; 2.8; 5.0; 4.4; 8.8@2; 5.6; 2.7; 2.9; 11.4
Focus: 29 Feb 2020; —; 14.9; 8.3; 25.8; 2.4; 6.5; 7.5; 2.0; 5.1; 3.8; 9.7@2; 7.8; 1.9; 2.8; 10.9
Focus+AKO: 20–24 Feb 2020; 2000; 15.6; 7.0; 19.1; 3.4; 9.8; 7.2; 3.9; 4.8; 3.5; 9.4@2; 6.6; 4.1; 3.6; 3.5
Focus+AKO: 13–18 Feb 2020; 2000; 17.2; 6.1; 16.4; 3.6; 10.4; 7.9; 4.0; 5.2; 2.9; 9.1@2; 8.2; 3.2; 3.8; 0.8
AKO: 11–13 Feb 2020; 1005; 16.9; 6.1; 15.5; 5.0; 10.3; 7.2; 4.7; 5.3; 3.0; 9.4@2; 8.9; 1.5; 4.3; 1.4
Focus: 6–12 Feb 2020; 1005; 17.0; 5.3; 13.3; 4.4; 12.2; 7.8; 4.2; 5.4; 3.9; 9.3@2; 8.2; 3.2; 4.0; 3.7
AKO: 3–6 Feb 2020; 1000; 17.3; 5.8; 13.5; 5.1; 11.8; 6.4; 4.5; 5.3; 3.2; 8.7@2; 9.5; 2.2; 4.1; 3.8
MVK: 24–31 Jan 2020; 1123; 21.9; 3.8; 8.9; 6; 12.7; 6.5; 2.9; 7.5; 4.6; 8.1@2; 8.5; 2.4; 2.9; 9.2
Polis: 23–30 Jan 2020; 1109; 17.1; 5.2; 12; 5.5; 11.1; 6.3; 4.8; 5.5; 3.5; 9.1@2; 10; 3.9; 4.6; 5.1
Focus: 15–22 Jan 2020; 1013; 18; 5.5; 9; 5.2; 12.8; 7.6; 4.4; 5.7; 4; 9.8@2; 10.8; 2; 4; 5.8
AKO: 15–17 Jan 2020; 1000; 17.1; 6.7; 8.4; 5.9; 11; 7.9; 4.2; 5.5; 3.2; 10.2@2; 10; 2.3; 3.4; 6.1
Polis: 10–15 Jan 2020; 1140; 17.1; 5.6; 10; 6.3; 12.4; 5.6; 4.9; 6; 4.3; 8.4@2; 9.7; 3.8; 4.1; 4.7
Focus: 10–14 Jan 2020; 1010; 18.7; 5.4; 7.7; 5.1; 13.6; 7.1; 4.0; 6.0; 3.7; 10.5@2; 10.3; 2.3; 3.3; 5.1
AKO: 7–9 Jan 2020; 1000; 17.7; 6.8; 8.3; 6.2; 11.7; 7.6; 4.1; 6.2; 2.5; 9.1@2; 10.4; 1.7; 3.2; 6.0
Polis: 7–11 Dec 2019; 1131; 18.1; 5.2; 9.8; 7.0; 12.2; 5.5; 5.2; 6.1; 5.2; 9.5@2; 10.1; 2.2; 2.4; 5.9
Focus: 2–9 Dec 2019; 1008; 19.6; 5.7; 8.0; 5.4; 11.8; 7.0; 4.3; 5.7; 4.3; 10.3@2; 9.2; 2.1; 3.8; 7.8
# SECTION SB
# COLS: smer sas olano sns lsns sr mh siet kdh smk ps spolu zl vlast dv lead
AKO: 19–25 Nov 2019; 1000; 18.4; 6.3; 7.6; 6.4; 10.4; 7.1; 3.5; –; 6.4; 2.2; 12.4@2; 12.5; 2.1; 3.2; 5.9
Polis: 9–13 Nov 2019; 1021; 20.2; 5.1; 7.0; 6.1; 11.1; 5.2; 4.1; –; 6.0; 3.6; 11.1@2; 11.2; 3.3; 2.4; 9.0
Focus: 30 Oct–6 Nov 2019; 1020; 20.0; 5.0; 5.7; 6.8; 10.3; 7.0; 4.1; –; 5.7; 3.5; 11.7@2; 10.6; 3.0; 2.9; 8.3
Focus: 15–22 Oct 2019; 1021; 22.0; 5.2; 6.0; 6.9; 10.2; 7.2; 3.8; –; 6.5; 3.2; 11.0@2; 9.1; 1.8; 2.4; 11.0
AKO: 7–10 Oct 2019; 1000; 20.1; 6.7; 5.8; 6.4; 12.3; 5.9; 3.9; –; 5.6; 3.1; 12.7@2; 12.0; –; 1.7; 7.4
AKO: 18–25 Sep 2019; —; 20; 7; 5.9; 5.6; 10.8; 7.8; 3.4; –; 7.4; 3.6; 17.1@2; 9.1; –; 2.0; 2.9
Focus: 11–17 Sep 2019; 1,027; 21.7; 6.4; 6.8; 6.8; 10.6; 7.2; 4.1; –; 6.9; 3.3; 13.3@2; 6.5; –; 2.1; 8.4
AKO: 26–29 Aug 2019; —; 19.6; 9.0; 7.3; 7.1; 10.9; 7.6; 3.9; –; 6.3; 3.5; 15.5@2; 8.8; –; –; 4.1
MVK: 12–20 Aug 2019; 1,075; 20.7; 5.5; 6.9; 8.5; 8.1; 5.5; 3.8; –; 9.4; 3.4; 13.3@2; 7.9; –; –; 7.4
Focus: 13–19 Aug 2019; 1,010; 20.8; 7.9; 6.1; 7.0; 11.4; 6.6; 4.3; –; 7.3; 3.5; 14.9@2; 5.5; –; –; 5.9
Focus: 1–7 Aug 2019; 1,020; 21.8; 7.0; 6.0; 7.0; 12.1; 6.3; 4.7; –; 7.5; 3.4; 14.0@2; 5.0; –; –; 7.8
Focus: 19–25 Jun 2019; 1,023; 20.3; 7.1; 5.1; 7.3; 12.6; 7.0; 4.5; –; 7.0; 3.3; 15.7@2; 5.2; –; –; 4.6
Polis: 11–18 Jun 2019; 1,165; 18.3; 8.5; 6.3; 7.6; 11.4; 5.0; 5.1; –; 8.2; –; 15.0@2; 5.2; –; –; 3.3
Focus: 1–11 Jun 2019; 1,017; 19.7; 8.0; 6.7; 7.2; 12.5; 7.3; 4.4; –; 7.5; 3.7; 17.8@2; –; –; –; 1.9
AKO: 28–31 May 2019; 1,000; 18.7; 10.8; 6.3; 7.2; 14.9; 7.3; 4.2; –; 8.6; 2.9; 18.0@2; –; –; –; 0.7
AKO: 8–10 May 2019; 1,000; 19.2; 13.5; 6.7; 8.2; 13.6; 9.9; 5.1; –; 7.4; 2.2; 13.6@2; –; –; –; 5.6
AKO: 29 Apr–6 May 2019; 1,000; 19.1; 13.1; 9.2; 8.0; 13.9; 8.3; 5.0; –; 6.6; 2.6; 13.7@2; –; –; –; 5.2
Focus: 8–14 Apr 2019; 1,026; 19.0; 10.1; 9.1; 7.5; 10.5; 9.4; 4.7; –; 6.8; 3.6; 13.4@2; –; –; –; 5.6
AKO: 1–2 Apr 2019; 1,000; 19.7; 12.9; 8.6; 7.6; 11.5; 10.7; 5.0; –; 6.9; 2.6; 14.4@2; –; –; –; 5.3
Focus: 18–25 Mar 2019; 1,022; 22.4; 11.4; 8.3; 7.9; 11.8; 9.0; 4.5; –; 7.5; 3.0; 9.1@2; –; –; –; 10.6
Focus: 21–26 Feb 2019; 1,022; 21.2; 11.2; 8.4; 7.5; 11.7; 9.5; 5.4; –; 6.5; 3.1; 9.5@2; –; –; –; 9.5
AKO: 8–12 Feb 2019; 1,000; 22.4; 14.8; 10.1; 8.0; 9.5; 10.9; 6.3; –; 6.1; 3.3; 7.5@2; –; –; –; 7.6
Focus: 16–23 Jan 2019; 1,013; 22.5; 12.3; 10.0; 8.0; 8.4; 10.4; 5.8; –; 7.0; 3.4; 4.9; 3.5; –; –; –; 10.2
Focus: 1–9 Dec 2018; 1,019; 21.7; 13.3; 10.5; 9.2; 9.2; 9.0; 5.2; –; 6.5; 3.3; 5.1; 4.1; –; –; –; 8.4
AKO: 27–28 Nov 2018; 1,000; 23.4; 15.9; 7.7; 9.3; 9.2; 10.0; 5.7; –; 6.7; 2.4; 5.3; 3.2; –; –; –; 7.5
AKO: 13–15 Nov 2018; 1,000; 23.9; 16.1; 8.1; 9.2; 7.8; 10.4; 6.1; –; 5.9; 3.2; 5.0; 4.2; –; –; –; 7.8
Focus: 7–14 Nov 2018; 1,012; 20.9; 12.0; 9.5; 8.0; 9.8; 8.1; 5.9; –; 7.7; 3.6; 5.3; 5.0; –; –; –; 8.9
Focus: 18–25 Sep 2018; 1,015; 22.4; 13.5; 10.3; 9.2; 10.0; 8.2; 5.1; –; 5.5; 3.1; 4.4; 3.1; –; –; –; 8.9
AKO: 30 Aug–5 Sep 2018; 1,000; 21.2; 16.0; 9.4; 10.9; 8.6; 9.5; 6.3; –; 7.6; 3.0; 4.6; 2.3; –; –; –; 5.2
AKO: 15–17 Aug 2018; 1,000; 21.4; 15.7; 8.4; 11.0; 10.9; 10.8; 5.3; –; 6.1; 3.0; 4.1; 3.3; –; –; –; 5.7
Focus: 2–9 Aug 2018; 1,007; 20.7; 12.2; 8.7; 9.4; 10.1; 10.0; 5.7; –; 7.1; 4.1; 4.2; 3.3; –; –; –; 8.5
AKO: 18–21 Jun 2018; 1,000; 21.0; 15.5; 8.6; 10.2; 11.1; 9.3; 6.3; –; 7.2; 2.4; 4.0; 3.8; –; –; –; 5.5
Focus: 4–11 Jun 2018; 1,015; 21.7; 12.4; 10.0; 9.8; 9.7; 8.1; 5.6; –; 6.7; 4.0; 3.9; 2.9; –; –; –; 9.3
AKO: 16–21 May 2018; 1,000; 21.5; 16.7; 9.1; 10.1; 10.4; 9.1; 5.6; –; 6.7; 2.5; 3.9; 3.6; –; –; –; 4.8
Focus: 24–30 Apr 2018; 1,005; 20.5; 13.2; 9.1; 10.1; 9.3; 9.1; 5.8; –; 6.8; 3.3; 3.6; 2.8; –; –; –; 7.3
AKO: 20–24 Apr 2018; 1,000; 21.4; 16.1; 8.7; 10.9; 10.3; 9.0; 6.8; –; 6.9; 1.9; 3.8; 3.7; –; –; –; 5.3
AKO: 4–7 Apr 2018; 1,000; 20.7; 17.1; 9.1; 10.7; 10.0; 8.6; 5.6; –; 8.6; 2.7; 3.2; 2.8; –; –; –; 3.6
Focus: 7–13 Mar 2018; 1,012; 20.2; 14.0; 10.4; 10.0; 10.1; 10.4; 5.6; –; 7.0; 4.1; 1.4; 1.1; –; –; –; 6.2
AKO: 21–26 Feb 2018; 1,000; 24.7; 16.2; 10.2; 9.9; 8.2; 9.6; 6.3; –; 7.7; 3.4; 1.6; 1.6; –; –; –; 8.5
Focus: 23–28 Jan 2018; 1,012; 25.5; 13.1; 11.4; 8.6; 8.1; 9.0; 5.7; –; 7.4; 3.9; 1.9; –; –; –; –; 12.4
AKO: 14–18 Nov 2017; 1,000; 24.8; 17.8; 12.5; 8.9; 8.4; 9.2; 5.8; 0.5; 7.0; 4.3; –; –; –; –; –; 7.0
Focus: 7–13 Nov 2017; 1,017; 24.8; 14.2; 12.5; 8.0; 8.4; 8.5; 5.6; 0.0; 7.2; 3.6; –; –; –; –; –; 10.6
Focus: 4–11 Oct 2017; 1,003; 26.2; 13.8; 8.5; 8.1; 10.1; 9.4; 6.0; 0.0; 7.3; 4.2; –; –; –; –; –; 12.4
AKO: 18–20 Sep 2017; 1,000; 27.3; 16.1; 8.9; 9.0; 10.9; 9.2; 7.3; 0.0; 5.1; 4.2; –; –; –; –; –; 11.2
Focus: 11–18 Sep 2017; 1,000; 26.0; 14.0; 9.6; 8.7; 10.4; 9.1; 6.0; 0.0; 6.4; 4.0; –; –; –; –; –; 12.0
AKO: 21–23 Aug 2017; 1,000; 25.0; 18.1; 8.9; 9.1; 11.0; 9.4; 7.5; 0.0; 6.0; 3.9; –; –; –; –; –; 6.9
Polis: 18–23 Aug 2017; 1,220; 27.3; 16.8; 9.0; 7.2; 14.2; 7.2; 5.2; 0.0; 5.5; 4.2; –; –; –; –; –; 10.5
Polis: 18–24 Jul 2017; 1,208; 27.8; 15.8; 9.4; 9.5; 11.2; 6.4; 5.5; 0.0; 6.0; 4.7; –; –; –; –; –; 12.0
AKO: 14–19 Jul 2017; 1,000; 25.8; 16.0; 9.2; 10.4; 10.3; 8.6; 7.6; 0.0; 6.8; 3.1; –; –; –; –; –; 9.8
Focus: 13–24 Jul 2017; 1,025; 26.4; 14.2; 9.2; 10.3; 9.1; 8.2; 6.2; 0.0; 6.3; 4.0; –; –; –; –; –; 12.2
AKO: 14–19 Jun 2017; 1,000; 26.0; 16.1; 10.0; 11.7; 9.7; 8.7; 7.0; 0.0; 6.0; 3.1; –; –; –; –; –; 9.9
Polis: 13–19 Jun 2017; 1,208; 28.0; 16.5; 9.1; 9.5; 11.8; 7.4; 5.2; 0.0; 6.0; 5.3; –; –; –; –; –; 11.5
Focus: 31 May–4 Jun 2017; 1,012; 26.2; 13.4; 9.6; 10.2; 10.9; 7.4; 6.9; 0.6; 5.7; 4.0; –; –; –; –; –; 12.8
Polis: 13–19 May 2017; 1,366; 28.8; 16.0; 9.3; 9.3; 11.1; 6.8; 5.2; 0.0; 6.2; 4.7; –; –; –; –; –; 12.8
AKO: 24–26 Apr 2017; 1,000; 27.1; 17.6; 8.9; 11.4; 10.5; 7.1; 6.4; 0.6; 6.2; 3.5; –; –; –; –; –; 9.5
Polis: 20–25 Apr 2017; 1,353; 27.8; 14.7; 11.7; 9.8; 11.9; 7.0; 5.3; 0.6; 5.2; 5.1; –; –; –; –; –; 13.1
Focus: 4–9 Apr 2017; 1,006; 26.6; 13.7; 9.2; 9.9; 10.1; 8.1; 6.9; 0.6; 5.4; 4.3; –; –; –; –; –; 12.9
Polis: 11–17 Mar 2017; 1,209; 27.5; 14.5; 12.2; 10.3; 12.2; 7.0; 5.4; 1.0; 5.5; 3.4; –; –; –; –; –; 13.0
AKO: 13–15 Mar 2017; 1,000; 28.0; 17.4; 9.1; 11.3; 11.0; 6.6; 7.5; 1.0; 5.1; 2.2; –; –; –; –; –; 10.6
Polis: 18–25 Feb 2017; 1,311; 27.1; 13.8; 12.1; 9.0; 13.0; 8.1; 5.4; 1.0; 5.4; 3.3; –; –; –; –; –; 13.3
Focus: 6–18 Feb 2017; 1,512; 25.5; 13.8; 9.7; 10.1; 10.4; 8.5; 6.0; 1.0; 5.5; 4.3; –; –; –; –; –; 11.7
AKO: 10–14 Feb 2017; 1,000; 27.7; 16.3; 9.1; 11.4; 10.5; 6.6; 8.1; 1.0; 5.6; 2.9; –; –; –; –; –; 11.4
Focus: 21–27 Jan 2017; 1,008; 27.9; 13.2; 10.2; 10.1; 10.2; 7.4; 6.4; 1.0; 5.3; 3.4; –; –; –; –; –; 14.7
